Program,Org Name,Site Location,State,Speciality Description,Star Rating,API_Place_Search,API_Place_Detail
DES-Employment Support Service,ECHO Australia Inc,DANDENONG,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -38.0247341, 'lng': 145.305366}, 'viewport': {'northeast': {'lat': -38.02353877010728, 'lng': 145.3065382298927}, 'southwest': {'lat': -38.02623842989273, 'lng': 145.3038385701072}}}, 'name': 'Echo', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJg1xMt60Q1moRRoobQgdBQHE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '6', 'short_name': '6', 'types': ['subpremise']}, {'long_name': '418', 'short_name': '418', 'types': ['street_number']}, {'long_name': 'Princes Highway', 'short_name': 'Princes Hwy', 'types': ['route']}, {'long_name': 'Narre Warren', 'short_name': 'Narre Warren', 'types': ['locality', 'political']}, {'long_name': 'City of Casey', 'short_name': 'Casey', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3805', 'short_name': '3805', 'types': ['postal_code']}], 'formatted_address': '6/418 Princes Hwy, Narre Warren VIC 3805, Australia', 'formatted_phone_number': '(03) 8790 1621', 'url': 'https://maps.google.com/?cid=8160594024225016390', 'website': 'http://www.echoaustralia.com/'}, 'status': 'OK'}]"
DES-Employment Support Service,ECHO Australia Inc,LILYDALE,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.7563539, 'lng': 145.3538266}, 'viewport': {'northeast': {'lat': -37.75498777010728, 'lng': 145.3550757798928}, 'southwest': {'lat': -37.75768742989272, 'lng': 145.3523761201073}}}, 'name': 'Echo Australia', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJpUoW4g4v1moRla_ZKW3xasE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'C5', 'short_name': 'C5', 'types': ['subpremise']}, {'long_name': '20-22', 'short_name': '20-22', 'types': ['street_number']}, {'long_name': 'Castella Street', 'short_name': 'Castella St', 'types': ['route']}, {'long_name': 'Lilydale', 'short_name': 'Lilydale', 'types': ['locality', 'political']}, {'long_name': 'Yarra Ranges Shire', 'short_name': 'Yarra Ranges', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3140', 'short_name': '3140', 'types': ['postal_code']}], 'formatted_address': 'C5/20-22 Castella St, Lilydale VIC 3140, Australia', 'formatted_phone_number': '(03) 9739 4455', 'url': 'https://maps.google.com/?cid=13937217448007282581', 'website': 'https://www.echoaustralia.com/'}, 'status': 'OK'}]"
DES-Employment Support Service,ECHO Australia Inc,NARRE WARREN,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -38.0247341, 'lng': 145.305366}, 'viewport': {'northeast': {'lat': -38.02353877010728, 'lng': 145.3065382298927}, 'southwest': {'lat': -38.02623842989273, 'lng': 145.3038385701072}}}, 'name': 'Echo', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJg1xMt60Q1moRRoobQgdBQHE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '6', 'short_name': '6', 'types': ['subpremise']}, {'long_name': '418', 'short_name': '418', 'types': ['street_number']}, {'long_name': 'Princes Highway', 'short_name': 'Princes Hwy', 'types': ['route']}, {'long_name': 'Narre Warren', 'short_name': 'Narre Warren', 'types': ['locality', 'political']}, {'long_name': 'City of Casey', 'short_name': 'Casey', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3805', 'short_name': '3805', 'types': ['postal_code']}], 'formatted_address': '6/418 Princes Hwy, Narre Warren VIC 3805, Australia', 'formatted_phone_number': '(03) 8790 1621', 'url': 'https://maps.google.com/?cid=8160594024225016390', 'website': 'http://www.echoaustralia.com/'}, 'status': 'OK'}]"
DES-Employment Support Service,ECHO Australia Inc,OAKLEIGH,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.898997, 'lng': 145.093118}, 'viewport': {'northeast': {'lat': -37.89772797010728, 'lng': 145.0944460798927}, 'southwest': {'lat': -37.90042762989273, 'lng': 145.0917464201073}}}, 'name': 'Echo Employment Services', 'place_id': 'ChIJJ2X4xwtr1moRSIztrbDzFrc'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '69-71', 'short_name': '69-71', 'types': ['street_number']}, {'long_name': 'Atherton Road', 'short_name': 'Atherton Rd', 'types': ['route']}, {'long_name': 'Oakleigh', 'short_name': 'Oakleigh', 'types': ['locality', 'political']}, {'long_name': 'Monash City', 'short_name': 'Monash', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3166', 'short_name': '3166', 'types': ['postal_code']}], 'formatted_address': '69-71 Atherton Rd, Oakleigh VIC 3166, Australia', 'formatted_phone_number': '(03) 9569 7772', 'url': 'https://maps.google.com/?cid=13193000098586266696', 'website': 'https://www.echoaustralia.com/'}, 'status': 'OK'}]"
DES-Employment Support Service,ECHO Australia Inc,PAKENHAM,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -38.078273, 'lng': 145.485126}, 'viewport': {'northeast': {'lat': -38.07692317010727, 'lng': 145.4864758298927}, 'southwest': {'lat': -38.07962282989271, 'lng': 145.4837761701072}}}, 'name': 'ECHO Australia', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJwUVNtgYe1moRgEs8HSZ__po'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '4', 'short_name': '4', 'types': ['subpremise']}, {'long_name': '5', 'short_name': '5', 'types': ['street_number']}, {'long_name': 'Cook Drive', 'short_name': 'Cook Dr', 'types': ['route']}, {'long_name': 'Pakenham', 'short_name': 'Pakenham', 'types': ['locality', 'political']}, {'long_name': 'Cardinia Shire', 'short_name': 'Cardinia', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3810', 'short_name': '3810', 'types': ['postal_code']}], 'formatted_address': '4/5 Cook Dr, Pakenham VIC 3810, Australia', 'url': 'https://maps.google.com/?cid=11168503927601384320'}, 'status': 'OK'}]"
DES-Employment Support Service,ECHO Australia Inc,RICHMOND,VIC,All Client Types,5,"[{'candidates': [{'geometry': {'location': {'lat': -38.0247341, 'lng': 145.305366}, 'viewport': {'northeast': {'lat': -38.02353877010728, 'lng': 145.3065382298927}, 'southwest': {'lat': -38.02623842989273, 'lng': 145.3038385701072}}}, 'name': 'Echo', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJg1xMt60Q1moRRoobQgdBQHE'}, {'geometry': {'location': {'lat': -38.1108138, 'lng': 145.282489}, 'viewport': {'northeast': {'lat': -38.10950502010727, 'lng': 145.2841513798927}, 'southwest': {'lat': -38.11220467989272, 'lng': 145.2814517201073}}}, 'name': 'ECHO Australia Inc', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJB0leu7kP1moR07wD-e84yLY'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '6', 'short_name': '6', 'types': ['subpremise']}, {'long_name': '418', 'short_name': '418', 'types': ['street_number']}, {'long_name': 'Princes Highway', 'short_name': 'Princes Hwy', 'types': ['route']}, {'long_name': 'Narre Warren', 'short_name': 'Narre Warren', 'types': ['locality', 'political']}, {'long_name': 'City of Casey', 'short_name': 'Casey', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3805', 'short_name': '3805', 'types': ['postal_code']}], 'formatted_address': '6/418 Princes Hwy, Narre Warren VIC 3805, Australia', 'formatted_phone_number': '(03) 8790 1621', 'url': 'https://maps.google.com/?cid=8160594024225016390', 'website': 'http://www.echoaustralia.com/'}, 'status': 'OK'}]"
DES-Employment Support Service,ECHO Australia Inc,RINGWOOD,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.8113511, 'lng': 145.2271677}, 'viewport': {'northeast': {'lat': -37.81000127010728, 'lng': 145.2285175298927}, 'southwest': {'lat': -37.81270092989272, 'lng': 145.2258178701073}}}, 'name': 'ECHO Australia Ringwood', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJn3GyltU71moRV90opAOPRDc'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Suite 6', 'short_name': 'Suite 6', 'types': ['subpremise']}, {'long_name': '45-51', 'short_name': '45-51', 'types': ['street_number']}, {'long_name': 'Ringwood Street', 'short_name': 'Ringwood St', 'types': ['route']}, {'long_name': 'Ringwood', 'short_name': 'Ringwood', 'types': ['locality', 'political']}, {'long_name': 'Maroondah City', 'short_name': 'Maroondah', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3134', 'short_name': '3134', 'types': ['postal_code']}], 'formatted_address': 'Suite 6/45-51 Ringwood St, Ringwood VIC 3134, Australia', 'formatted_phone_number': '(03) 9879 7814', 'url': 'https://maps.google.com/?cid=3982465216304176471', 'website': 'https://www.echoaustralia.com/'}, 'status': 'OK'}]"
DES-Employment Support Service,ECHO Australia Inc,WANTIRNA SOUTH,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -37.8707464, 'lng': 145.2432416}, 'viewport': {'northeast': {'lat': -37.86953302010728, 'lng': 145.2444779298927}, 'southwest': {'lat': -37.87223267989273, 'lng': 145.2417782701073}}}, 'name': 'Echo Australia', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJwxXuorY91moRxlxJ3sfDY8w'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Wantirna South', 'short_name': 'Wantirna South', 'types': ['locality', 'political']}, {'long_name': 'City of Knox', 'short_name': 'Knox', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3152', 'short_name': '3152', 'types': ['postal_code']}], 'formatted_address': 'Shop 3/1a City Square Knox Ozone, Wantirna South VIC 3152, Australia', 'formatted_phone_number': '(03) 9800 1870', 'url': 'https://maps.google.com/?cid=14727830469626911942', 'website': 'https://www.echoaustralia.com/'}, 'status': 'OK'}]"
DES-Employment Support Service,Expression Employment,PRESTON,VIC,"Gay, Lesbian, Bisexual, Transgender and Intersex",3,"[{'candidates': [{'geometry': {'location': {'lat': -37.7371176, 'lng': 145.0043514}, 'viewport': {'northeast': {'lat': -37.73575732010728, 'lng': 145.0056003798927}, 'southwest': {'lat': -37.73845697989272, 'lng': 145.0029007201072}}}, 'name': 'Expression Employment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJXx96Td5F1moRqENjIIbTWag'}, {'geometry': {'location': {'lat': -37.8146899, 'lng': 144.9609008}, 'viewport': {'northeast': {'lat': -37.81337562010728, 'lng': 144.9621258298927}, 'southwest': {'lat': -37.81607527989273, 'lng': 144.9594261701073}}}, 'name': 'Expression Employment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJJ1RxeJRd1moRBxdhR0wJpFc'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '426', 'short_name': '426', 'types': ['street_number']}, {'long_name': 'High Street', 'short_name': 'High St', 'types': ['route']}, {'long_name': 'Preston', 'short_name': 'Preston', 'types': ['locality', 'political']}, {'long_name': 'Darebin City', 'short_name': 'Darebin', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3072', 'short_name': '3072', 'types': ['postal_code']}], 'formatted_address': '426 High St, Preston VIC 3072, Australia', 'formatted_phone_number': '(03) 9473 1111', 'url': 'https://maps.google.com/?cid=12130959644321596328', 'website': 'http://www.expression.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Expression Employment,PRESTON,VIC,Sensory Impairment (Hearing or Vision Loss),3,"[{'candidates': [{'geometry': {'location': {'lat': -37.7371176, 'lng': 145.0043514}, 'viewport': {'northeast': {'lat': -37.73575732010728, 'lng': 145.0056003798927}, 'southwest': {'lat': -37.73845697989272, 'lng': 145.0029007201072}}}, 'name': 'Expression Employment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJXx96Td5F1moRqENjIIbTWag'}, {'geometry': {'location': {'lat': -37.8146899, 'lng': 144.9609008}, 'viewport': {'northeast': {'lat': -37.81337562010728, 'lng': 144.9621258298927}, 'southwest': {'lat': -37.81607527989273, 'lng': 144.9594261701073}}}, 'name': 'Expression Employment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJJ1RxeJRd1moRBxdhR0wJpFc'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '426', 'short_name': '426', 'types': ['street_number']}, {'long_name': 'High Street', 'short_name': 'High St', 'types': ['route']}, {'long_name': 'Preston', 'short_name': 'Preston', 'types': ['locality', 'political']}, {'long_name': 'Darebin City', 'short_name': 'Darebin', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3072', 'short_name': '3072', 'types': ['postal_code']}], 'formatted_address': '426 High St, Preston VIC 3072, Australia', 'formatted_phone_number': '(03) 9473 1111', 'url': 'https://maps.google.com/?cid=12130959644321596328', 'website': 'http://www.expression.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Jobfind,CAMBERWELL,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -37.83205969999999, 'lng': 145.0563684}, 'viewport': {'northeast': {'lat': -37.83072117010727, 'lng': 145.0578135798927}, 'southwest': {'lat': -37.83342082989272, 'lng': 145.0551139201072}}}, 'name': 'Jobfind Camberwell', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJdQdNNoRB1moRDa3PjOkjaFs'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Level 3', 'short_name': 'Level 3', 'types': ['subpremise']}, {'long_name': '697', 'short_name': '697', 'types': ['street_number']}, {'long_name': 'Burke Road', 'short_name': 'Burke Rd', 'types': ['route']}, {'long_name': 'Camberwell', 'short_name': 'Camberwell', 'types': ['locality', 'political']}, {'long_name': 'Boroondara City', 'short_name': 'Boroondara', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3124', 'short_name': '3124', 'types': ['postal_code']}], 'formatted_address': 'Level 3/697 Burke Rd, Camberwell VIC 3124, Australia', 'formatted_phone_number': '(03) 9882 0522', 'url': 'https://maps.google.com/?cid=6586553941026123021', 'website': 'https://jobfind.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Jobfind,CHELTENHAM,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -37.965322, 'lng': 145.0559105}, 'viewport': {'northeast': {'lat': -37.96396072010727, 'lng': 145.0571661298927}, 'southwest': {'lat': -37.96666037989272, 'lng': 145.0544664701073}}}, 'name': 'Jobfind Cheltenham', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJbRx-8yVs1moRHG8_CSZp4Ps'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['subpremise']}, {'long_name': '350', 'short_name': '350', 'types': ['street_number']}, {'long_name': 'Charman Road', 'short_name': 'Charman Rd', 'types': ['route']}, {'long_name': 'Cheltenham', 'short_name': 'Cheltenham', 'types': ['locality', 'political']}, {'long_name': 'Kingston City', 'short_name': 'Kingston', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3192', 'short_name': '3192', 'types': ['postal_code']}], 'formatted_address': '1/350 Charman Rd, Cheltenham VIC 3192, Australia', 'formatted_phone_number': '(03) 8514 2100', 'url': 'https://maps.google.com/?cid=18149622110387924764', 'website': 'https://jobfind.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Jobfind,CRANBOURNE,VIC,All Client Types,1,"[{'candidates': [{'geometry': {'location': {'lat': -38.1135944, 'lng': 145.2844281}, 'viewport': {'northeast': {'lat': -38.11209447010728, 'lng': 145.2858175298927}, 'southwest': {'lat': -38.11479412989272, 'lng': 145.2831178701073}}}, 'name': 'Jobfind Cranbourne', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJt07mybsP1moRLNiawk7UzXs'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '178', 'short_name': '178', 'types': ['street_number']}, {'long_name': 'Sladen Street', 'short_name': 'Sladen St', 'types': ['route']}, {'long_name': 'Cranbourne', 'short_name': 'Cranbourne', 'types': ['locality', 'political']}, {'long_name': 'City of Casey', 'short_name': 'Casey', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3977', 'short_name': '3977', 'types': ['postal_code']}], 'formatted_address': '178 Sladen St, Cranbourne VIC 3977, Australia', 'formatted_phone_number': '(03) 5995 4300', 'url': 'https://maps.google.com/?cid=8921019871628285996', 'website': 'https://jobfind.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Jobfind,DANDENONG,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.9879792, 'lng': 145.2137824}, 'viewport': {'northeast': {'lat': -37.98661707010727, 'lng': 145.2153954298927}, 'southwest': {'lat': -37.98931672989271, 'lng': 145.2126957701072}}}, 'name': 'Jobfind Dandenong', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJHUQhkAgU1moRBrOQfgIpkYE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['subpremise']}, {'long_name': '237', 'short_name': '237', 'types': ['street_number']}, {'long_name': 'Lonsdale Street', 'short_name': 'Lonsdale St', 'types': ['route']}, {'long_name': 'Dandenong', 'short_name': 'Dandenong', 'types': ['locality', 'political']}, {'long_name': 'Greater Dandenong City', 'short_name': 'Greater Dandenong', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3175', 'short_name': '3175', 'types': ['postal_code']}], 'formatted_address': '1/237 Lonsdale St, Dandenong VIC 3175, Australia', 'formatted_phone_number': '(03) 8770 0600', 'url': 'https://maps.google.com/?cid=9336288593205834502', 'website': 'http://www.directrecruitment.com.au/contact-us/'}, 'status': 'OK'}]"
DES-Employment Support Service,Jobfind,GLEN WAVERLEY,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -37.8809984, 'lng': 145.1611253}, 'viewport': {'northeast': {'lat': -37.87949192010728, 'lng': 145.1624846298927}, 'southwest': {'lat': -37.88219157989272, 'lng': 145.1597849701073}}}, 'name': 'Jobfind Glen Waverley', 'place_id': 'ChIJmZB46Wk_1moRJsgcbsOQTT4'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '4', 'short_name': '4', 'types': ['subpremise']}, {'long_name': '40', 'short_name': '40', 'types': ['street_number']}, {'long_name': 'Montclair Avenue', 'short_name': 'Montclair Ave', 'types': ['route']}, {'long_name': 'Glen Waverley', 'short_name': 'Glen Waverley', 'types': ['locality', 'political']}, {'long_name': 'Monash City', 'short_name': 'Monash', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3150', 'short_name': '3150', 'types': ['postal_code']}], 'formatted_address': '4/40 Montclair Ave, Glen Waverley VIC 3150, Australia', 'formatted_phone_number': '(03) 9566 0100', 'url': 'https://maps.google.com/?cid=4489403572598655014', 'website': 'http://www.jobfind.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Jobfind,MELBOURNE,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.8140304, 'lng': 144.9607964}, 'viewport': {'northeast': {'lat': -37.81274097010728, 'lng': 144.9619343798927}, 'southwest': {'lat': -37.81544062989272, 'lng': 144.9592347201073}}}, 'name': 'Jobfind Melbourne CBD', 'place_id': 'ChIJHRSAZGVd1moR-4DSHB2wwOU'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Level 8', 'short_name': 'Level 8', 'types': ['subpremise']}, {'long_name': '190', 'short_name': '190', 'types': ['street_number']}, {'long_name': 'Queen Street', 'short_name': 'Queen St', 'types': ['route']}, {'long_name': 'Melbourne', 'short_name': 'Melbourne', 'types': ['locality', 'political']}, {'long_name': 'Melbourne City', 'short_name': 'Melbourne', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3000', 'short_name': '3000', 'types': ['postal_code']}], 'formatted_address': 'Level 8/190 Queen St, Melbourne VIC 3000, Australia', 'formatted_phone_number': '(03) 8636 8400', 'url': 'https://maps.google.com/?cid=16555425869298041083', 'website': 'http://www.jobfind.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Jobfind,NARRE WARREN,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -38.02492710000001, 'lng': 145.3155134}, 'viewport': {'northeast': {'lat': -38.02353412010728, 'lng': 145.3169205298927}, 'southwest': {'lat': -38.02623377989272, 'lng': 145.3142208701072}}}, 'name': 'Jobfind Narre Warren', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJu0L7JqsQ1moRx3mlEbIcxxA'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Suite 12', 'short_name': 'Suite 12', 'types': ['subpremise']}, {'long_name': '26', 'short_name': '26', 'types': ['street_number']}, {'long_name': 'Verdun Drive', 'short_name': 'Verdun Dr', 'types': ['route']}, {'long_name': 'Narre Warren', 'short_name': 'Narre Warren', 'types': ['locality', 'political']}, {'long_name': 'City of Casey', 'short_name': 'Casey', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3805', 'short_name': '3805', 'types': ['postal_code']}], 'formatted_address': 'Suite 12/26 Verdun Dr, Narre Warren VIC 3805, Australia', 'formatted_phone_number': '(03) 8790 2555', 'url': 'https://maps.google.com/?cid=1208966576098081223', 'website': 'http://www.jobfind.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Jobfind,OAKLEIGH,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -37.898829, 'lng': 145.089438}, 'viewport': {'northeast': {'lat': -37.89739827010727, 'lng': 145.0908034798927}, 'southwest': {'lat': -37.90009792989272, 'lng': 145.0881038201072}}}, 'name': 'Jobfind Oakleigh', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJXTWqGBJr1moRmswnSW4zmnQ'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Level 3', 'short_name': 'Level 3', 'types': ['subpremise']}, {'long_name': '20', 'short_name': '20', 'types': ['street_number']}, {'long_name': 'Atherton Road', 'short_name': 'Atherton Rd', 'types': ['route']}, {'long_name': 'Oakleigh', 'short_name': 'Oakleigh', 'types': ['locality', 'political']}, {'long_name': 'Monash City', 'short_name': 'Monash', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3166', 'short_name': '3166', 'types': ['postal_code']}], 'formatted_address': 'Level 3/20 Atherton Rd, Oakleigh VIC 3166, Australia', 'formatted_phone_number': '(03) 8574 4300', 'url': 'https://maps.google.com/?cid=8402084603579845786', 'website': 'https://jigsaw.edu.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Jobfind,PAKENHAM,VIC,All Client Types,5,"[{'candidates': [{'geometry': {'location': {'lat': -38.0767263, 'lng': 145.4827902}, 'viewport': {'northeast': {'lat': -38.07537647010727, 'lng': 145.4841400298927}, 'southwest': {'lat': -38.07807612989272, 'lng': 145.4814403701073}}}, 'name': 'Jobfind Pakenham', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ34M1eQYe1moRxhYbMG04wu8'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '5', 'short_name': '5', 'types': ['subpremise']}, {'long_name': '11', 'short_name': '11', 'types': ['street_number']}, {'long_name': 'John Street', 'short_name': 'John St', 'types': ['route']}, {'long_name': 'Pakenham', 'short_name': 'Pakenham', 'types': ['locality', 'political']}, {'long_name': 'Cardinia Shire', 'short_name': 'Cardinia', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3810', 'short_name': '3810', 'types': ['postal_code']}], 'formatted_address': '5/11 John St, Pakenham VIC 3810, Australia', 'formatted_phone_number': '(03) 5941 7075', 'url': 'https://maps.google.com/?cid=17276433162156316358', 'website': 'http://www.directrecruitment.com.au/'}, 'status': 'OK'}]"
